城市,id,景點名稱,google map,開放時間,電話,地址,簡介
雙北,1,國立故宮博物院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3612.9854046476685!2d121.54398638885498!3d25.102355400000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442ac3acd404a7d%3A0x5d6d7018397a09c1!2z5ZyL56uL5pWF5a6u5Y2a54mp6Zmi!5e0!3m2!1szh-TW!2stw!4v1703493158682!5m2!1szh-TW!2stw,週二至週日 09:00~17:00,02-2881-2021,台北市士林區至善路二段221號,國立故宮博物院於1965年在外雙溪落成，中國宮殿式的建築，一至三樓為展覽陳列空間，四樓為休憩茶座「三希堂」。藏有全世界最多的中華藝術寶藏，收藏品主要承襲自宋、元、明、清四朝，幾乎涵蓋了整部五千年的中國歷史，數量近70萬件，使國立故宮博物院擁有「中華文化寶庫」的美名。
雙北,2,臺北市立美術館,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14455.478010203347!2d121.5248102!3d25.0724118!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a951fdd9f7f9%3A0x7a40c3880c03a171!2z6Ie65YyX5biC56uL576O6KGT6aSo!5e0!3m2!1szh-TW!2stw!4v1703493241136!5m2!1szh-TW!2stw,週一 休館 | 週二至週日 09:00~17:30 | 週六 09:30-20:30,02-2595 7656,台北市中山區中山北路三段181號,臺北市立美術館，簡稱北美館，是臺灣臺北市的公立美術館，位於臺北市中山區花博公園美術園區內，成立於1983年12月24日，是臺灣第一座當代美術館與第一座公立美術館。 作為臺灣首座公立美術館，自開館以來即肩負推動臺灣現當代藝術的保存、研究、發展與普及之使命。 除整理臺灣近百年美術史外，亦持續關注發展中的當代藝術。
雙北,3,國立臺灣科學教育館,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1806.5863476548247!2d121.51546188823441!3d25.09601482345073!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442aeb8cbc067e3%3A0xf4ede97e74e06013!2z5ZyL56uL6Ie654Gj56eR5a245pWZ6IKy6aSo!5e0!3m2!1szh-TW!2stw!4v1703493522846!5m2!1szh-TW!2stw,週一 休館 | 例假日、寒暑假 09:00~18:00 | 非寒暑假之週二至週五 09:00~17:00,02-6610-1234分機1000、1005,台北市士林區士商路189號,"景點介紹 臺灣科學教育館，為科學教育而設，適合所有大人小孩來參觀。 地下室為兒童益智探索館，還有一個地底世界展，3, 4樓有生命科學、自然科學展，5, 6樓有物質科學、數學與地球科學展，7, 8樓為特展，可以看到世界性的科學展覽。 館內設有各種體驗裝置，可與展品互動。"
雙北,4,中正紀念堂,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3614.95792233815!2d121.51567708885499!3d25.035501999999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442a99db9a2a94d%3A0x43e9034292df69b2!2z5ZyL56uL5Lit5q2j57SA5b-15aCC!5e0!3m2!1szh-TW!2stw!4v1703493556407!5m2!1szh-TW!2stw,週一至週日 09:00~18:00 | 休館日另行公告,02-2343-1100,台北市中正區中山南路21號,為追念蔣中正總統而建造的紀念堂，造型仿北京天壇之頂、埃及金字塔之體，高聳威嚴，正廳置放蔣中正總統坐姿銅像，底座部份設有展覽室和放映室，陳列蔣中正總統一生對國家民族偉大勳業之文物，供民眾參觀，紀念堂左右分列戲劇院與音樂廳，古色古香的中國宮殿式建築，莊嚴宏偉，許多國內外之文化表演均在此進行。由於占地廣闊、建築美麗，是民眾活動聚會及婚紗攝影的勝地，更成為國外旅客必訪之地。
雙北,5,台北101觀景台,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.011610659548!2d121.56230817358905!3d25.03368003830776!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3442abb6e9d93249%3A0xd508f7b3aa02d931!2z5Y-w5YyXMTAx6KeA5pmv5Y-w!5e0!3m2!1szh-TW!2stw!4v1703493575031!5m2!1szh-TW!2stw,週一至週日10:00~21:00,02-8101-8898,台北市信義區信義路五段7號89樓,關於觀景台標高382公尺的89樓觀景台，除擁有全方位絕佳的觀景視野外，並提供其他多項設施，包括：超高倍數望遠鏡、紀念照攝影服務、飲料吧、十一種語言之多媒體影音導覽器、紀念品販售服務、世界最高郵筒等；同時更可看到重量達660公噸、世界少數外露供參觀的風阻尼器。
桃園,1,奧爾森林學堂,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.9498719641333!2d121.32499207358778!3d25.001819239590024!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34681e5e9b731c09%3A0xa5146185df59f6dc!2z5aWn54i-5qOu5p6X5a245aCC!5e0!3m2!1szh-TW!2stw!4v1703498833198!5m2!1szh-TW!2stw,桃園市桃園區公園路42號,專屬孩子們的樂園﹣奧爾森林學堂，位於虎頭山公園內的孔廟旁。綠林滿佈的自然環境，每到冬季總吸引許多貓頭鷹在此棲息覓食，因此｢奧爾｣即是取自貓頭鷹英文｢Owl｣的諧音。園區內三座醒目的樹屋群中，有著出自於在地創作者所製作的陶雕貓頭鷹，不妨跟著孩子來找看看， 這15隻大小不一的貓頭鷹究竟藏在哪?
桃園,2,可口可樂世界,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3616.588849460451!2d121.32263287358683!3d24.980099540463147!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34681ee961a091ab%3A0x50aa158069cd4368!2z5Y-v5Y-j5Y-v5qiC5LiW55WM!5e0!3m2!1szh-TW!2stw!4v1703498845889!5m2!1szh-TW!2stw,週一至週五 09:30~12:00、14:00~16:30 | 週六至週日 休息,0800-311789,桃園市桃園區龜山工業區興邦路46號,9大展區帶你一探橫掃全球的紅色旋風﹔錯過太可惜的絕版商品、19世紀美國街道神還原、見證榮耀的奧運聖火把…，可樂迷必訪。
桃園,3,Xpark,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.4954315613363!2d121.21166957358845!3d25.017255538968964!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346821054aea7a77%3A0x3fbe6503408633ef!2sXpark!5e0!3m2!1szh-TW!2stw!4v1703498861833!5m2!1szh-TW!2stw,週日至週五 10:00~18:00 | 週六 10:00~21:00,03-287-5000,桃園市中壢區春德路105號,Xpark是由台灣與日本橫濱八景島人氣水族館樂園耗時5 年規劃打造，為台灣首座新都會型的水生公園，並創造出360 度的沈浸式空間，顛覆傳統水族館樣貌。
桃園,4,埔心牧場,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3618.1797154499654!2d121.17379687358455!3d24.92594694263733!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34682317a2ef0c1d%3A0x1efb7c2b76c45e07!2z5Z-U5b-D54mn5aC0!5e0!3m2!1szh-TW!2stw!4v1703498874765!5m2!1szh-TW!2stw,週一至週日 09:00~17:00,03-464-4132,桃園市楊梅區幼獅路一段439號,埔心牧場除從事乳牛專業飼養外，並致力花卉栽培，各式奇花異草呈現一片花團錦簇，露天販賣店設置花木間，別有一番風情，牧場內新設的體能訓練場，20幾項野外健身活動設施，項項精彩刺激。 露營、烤肉區，場地寬闊，水電設施供應十分完備。 純青湖區湖邊綠草如茵，湖內魚兒成群，周圍景致充滿詩情畫意。
桃園,5,虎頭山環保公園,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.648906634756!2d121.32581367358821!3d25.012043339178685!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34681e43cd35a90b%3A0xba7cba3f8bc89a99!2z6JmO6aCt5bGx55Kw5L-d5YWs5ZyS!5e0!3m2!1szh-TW!2stw!4v1703498893900!5m2!1szh-TW!2stw,週一至週日 06:00~24:00,03-394-6061,桃園市桃園區成功路三段,想要捕獲大桃園360度全景視野，不需要挑戰高海拔也能輕鬆達陣！離桃園火車站不到5公里的虎頭山，當中的環保公園標高雖僅251公尺，卻是市區制高點，因此坐擁璀璨星光與城市燈火輝映的無遮蔽美景，一直以來都是在地賞景熱搜景點。
